13dge 0.015854 75.896169 1.571493
filter Unat
2456613.84115 17.80 0.03
2456613.84368 17.83 0.03
2456617.21306 17.82 0.15
2456617.21531 17.72 0.06
2456619.43867 17.80 0.02
2456619.44093 17.84 0.03
2456622.56708 18.05 0.02
2456622.56937 18.00 0.02
2456625.64034 18.12 0.02
2456625.64259 18.11 0.02
2456628.79796 18.22 0.02
2456628.80022 18.24 0.02
2456640.69304 18.60 0.04
2456640.88888 18.24 0.07
2456640.89115 18.45 0.08
filter ilcogt
2456540.61606 19.35 0.07
2456540.61856 19.45 0.09
2456540.84494 19.30 0.43
2456540.84743 18.73 0.50
2456541.59412 18.72 0.05
2456541.62300 18.67 0.03
2456541.62549 18.78 0.04
2456542.17308 18.36 0.04
2456542.17558 18.38 0.03
2456542.58380 18.26 0.05
2456542.58571 18.20 0.04
2456543.60762 17.46 0.51
2456543.60953 17.99 0.35
2456544.94701 17.01 0.02
2456545.15068 17.06 0.04
2456545.15259 17.09 0.04
2456545.25832 16.79 0.02
2456545.26024 16.72 0.02
2456545.83014 17.17 0.21
2456545.83205 16.76 0.01
2456546.25377 16.71 0.03
2456546.25568 16.70 0.03
2456546.28042 17.23 0.05
2456546.28233 17.27 0.08
2456546.84097 16.54 0.01
2456546.84288 16.54 0.02
2456546.86534 16.54 0.02
2456546.86725 16.54 0.01
2456546.89130 16.52 0.01
2456546.89319 16.53 0.01
2456547.25381 16.39 0.03
2456547.27863 16.45 0.02
2456547.28056 16.43 0.02
2456548.57889 16.45 0.09
2456548.58045 16.23 0.02
2456548.59894 16.23 0.02
2456548.60051 16.32 0.02
2456548.82784 16.21 0.01
2456548.82941 16.19 0.02
2456548.84965 16.15 0.01
2456548.85122 16.19 0.02
2456550.82475 16.04 0.02
2456550.82630 16.03 0.02
2456551.82184 15.96 0.01
2456551.82340 15.94 0.01
2456551.84248 15.95 0.01
2456551.84404 15.94 0.01
2456552.84296 15.92 0.01
2456552.84451 15.95 0.01
2456554.57424 15.91 0.02
2456554.57546 15.91 0.02
2456554.59042 15.90 0.02
2456554.59164 15.91 0.01
2456556.81807 16.05 0.02
2456556.81929 16.06 0.02
2456556.83439 16.09 0.03
2456556.83559 16.11 0.03
2456559.54090 16.11 0.01
2456559.54212 16.13 0.01
2456559.56678 16.10 0.01
2456559.56801 16.09 0.01
2456560.52767 16.13 0.01
2456560.52889 16.17 0.01
2456560.54477 16.17 0.02
2456560.54598 16.17 0.02
2456563.80074 16.32 0.01
2456563.80194 16.30 0.01
2456572.49785 16.85 0.05
2456572.49906 16.97 0.04
2456574.47743 16.82 0.02
2456574.47865 16.79 0.02
2456577.22652 16.76 0.02
2456577.22773 16.74 0.01
2456579.59587 16.74 0.02
2456579.59743 16.75 0.02
2456579.61671 16.73 0.02
2456579.61828 16.71 0.02
2456581.54711 16.73 0.02
2456581.54867 16.70 0.02
2456581.56906 16.68 0.02
2456583.70556 16.70 0.02
2456583.70712 16.65 0.02
2456583.72574 16.65 0.02
2456585.54185 16.77 0.07
2456585.54341 16.59 0.02
2456585.56145 16.60 0.02
2456585.56301 16.61 0.02
2456589.43926 16.80 0.03
2456589.44083 16.85 0.03
2456591.83172 16.91 0.02
2456591.83329 16.90 0.02
2456592.70204 17.09 0.02
2456592.70361 17.08 0.02
2456593.66833 17.10 0.02
2456593.66990 17.13 0.02
2456595.45387 17.23 0.03
2456595.45543 17.22 0.03
2456595.47367 17.20 0.02
2456595.47523 17.20 0.02
2456598.85019 17.47 0.07
2456598.85174 17.43 0.03
2456600.43120 17.43 0.04
